UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2016,10,21,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Physical,Horizon,BOOK,2016,10,10,"The world of ice & fire : the untold history of Westeros and the Game of Thrones / George R.R. Martin, Elio García, Jr. and Linda Antonsson.",,"Martin, George R. R.","Martin George R R Song of ice and fire, Game of thrones Television program","Bantam,",[2014]
Digital,OverDrive,EBOOK,2016,10,37,"A Clash of Kings: A Song of Ice and Fire Series, Book 2",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,10,48,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,Freegal,SONG,2016,10,1,Fire and Ice (Elements Live),,Within Temptation,,,
Digital,OverDrive,EBOOK,2016,10,109,"A Game of Thrones: A Song of Ice and Fire Series, Book 1",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,10,28,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Physical,Horizon,BOOK,2016,11,2,"Beyond the wall : exploring George R.R. Martin's A song of ice and fire, from A game of thrones to A dance with Drago / edited by James Lowder ; [foreword by R.A. Salvatore].",,,Martin George R R Criticism and interpretation,"BenBella Books, Inc.,",c2012.
Digital,OverDrive,EBOOK,2016,11,24,"A Feast for Crows: A Song of Ice and Fire Series, Book 4",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2016,11,100,"A Game of Thrones: A Song of Ice and Fire Series, Book 1",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,11,32,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,EBOOK,2016,11,42,"A Clash of Kings: A Song of Ice and Fire Series, Book 2",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,11,20,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Physical,Horizon,BOOK,2016,11,7,"The world of ice & fire : the untold history of Westeros and the Game of Thrones / George R.R. Martin, Elio García, Jr. and Linda Antonsson.",,"Martin, George R. R.","Martin George R R Song of ice and fire, Game of thrones Television program","Bantam,",[2014]
Digital,OverDrive,EBOOK,2016,11,40,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,11,2,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2016,11,46,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Physical,Horizon,BOOK,2016,11,2,The science of Game of thrones : from the genetics of royal incest to the chemistry of death by molten gold--sifting fact from fantasy in the Seven Kingdoms / Helen Keen.,,"Keen, Helen,","Science Miscellanea, Game of thrones Television program Miscellanea, Martin George R R Song of ice and fire Miscellanea, Science in literature","Little, Brown and Company,",2016
Digital,OverDrive,AUDIOBOOK,2016,11,13,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2013
Digital,OverDrive,EBOOK,2016,11,35,"A Storm of Swords: A Song of Ice and Fire Series, Book 3",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2016,11,1,"Beyond the Wall: Exploring George R. R. Martin's A Song of Ice and Fire, From A Game of Thrones to A Dance with Drago",,James Lowder,"Literary Criticism, Nonfiction",Perseus Books Group,2012
Digital,OverDrive,AUDIOBOOK,2016,11,18,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2011
Digital,OverDrive,EBOOK,2016,12,104,"A Game of Thrones: A Song of Ice and Fire Series, Book 1",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2016,12,25,"A Feast for Crows: A Song of Ice and Fire Series, Book 4",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2016,12,18,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2013
Digital,OverDrive,EBOOK,2016,12,35,"A Storm of Swords: A Song of Ice and Fire Series, Book 3",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2016,12,21,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Physical,Horizon,BOOK,2016,12,8,The science of Game of thrones : from the genetics of royal incest to the chemistry of death by molten gold--sifting fact from fantasy in the Seven Kingdoms / Helen Keen.,,"Keen, Helen,","Science Miscellanea, Game of thrones Television program Miscellanea, Martin George R R Song of ice and fire Miscellanea, Science in literature","Little, Brown and Company,",2016
Digital,OverDrive,AUDIOBOOK,2016,12,23,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2011
Digital,OverDrive,EBOOK,2016,12,39,"A Clash of Kings: A Song of Ice and Fire Series, Book 2",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,12,56,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,EBOOK,2016,12,32,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2016,12,5,"The world of ice & fire : the untold history of Westeros and the Game of Thrones / George R.R. Martin, Elio García, Jr. and Linda Antonsson.",,"Martin, George R. R.","Martin George R R Song of ice and fire, Game of thrones Television program","Bantam,",[2014]
Digital,OverDrive,AUDIOBOOK,2016,12,12,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2016,12,29,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2017,1,10,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2017,1,22,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
